Vaccine Candidate	Trial Phase	Donor Country	Finalized Commitment	Manufacturer	Manufacturer Primary Location	Recipient Country 	Doses Committed (in millions)	1 or 2 doses	Timeline 	Donation/Purchased	Secondary or Tertiary Transfer	Transfer Type	Recipient Income Level	 GNI/capita (Atlas method) 	GNI (Current USD, in millions)	Doses/Capita	Proportion of population	 Population size 	Population size (in millions)	Notes	Source
Not available	#N/A	United States of America	Yes			Pakistan		#N/A		Donation	Secondary	Direct	Lower middle income	 1,410 	304,452.24	0.0000	#N/A	 216,565,318 	 216.565 	Donation plan for 55m doses made public on June 21. This donation is part of the bilateral distribution of 14m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Philippines		#N/A		Donation	Secondary	Direct	Lower middle income	 3,850 	415,750.09	0.0000	#N/A	 108,116,615 	 108.117 	Donation plan for 55m doses made public on June 21. This donation is part of the bilateral distribution of 14m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Vietnam		#N/A		Donation	Secondary	Direct	Lower middle income	 2,590 	249,440.75	0.0000	#N/A	 96,462,106 	 96.462 	Donation plan for 55m doses made public on June 21. This donation is part of the bilateral distribution of 14m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Indonesia		#N/A		Donation	Secondary	Direct	Upper middle income	 4,050 	1,097,222.98	0.0000	#N/A	 270,625,568 	 270.626 	Donation plan for 55m doses made public on June 21. This donation is part of the bilateral distribution of 14m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			South Africa		#N/A		Donation	Secondary	Direct	Upper middle income	 6,040 	353,529.19	0.0000	#N/A	 58,558,270 	 58.558 	Donation plan for 55m doses made public on June 21. This donation is part of the bilateral distribution of 14m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Nigeria		#N/A		Donation	Secondary	Direct	Lower middle income	 2,030 	407,589.06	0.0000	#N/A	 200,963,599 	 200.964 	Donation plan for 55m doses made public on June 21. This donation is part of the bilateral distribution of 14m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Kenya		#N/A		Donation	Secondary	Direct	Lower middle income	 1,750 	91,823.75	0.0000	#N/A	 52,573,973 	 52.574 	Donation plan for 55m doses made public on June 21. This donation is part of the bilateral distribution of 14m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Ghana		#N/A		Donation	Secondary	Direct	Lower middle income	 2,220 	67,507.60	0.0000	#N/A	 30,417,856 	 30.418 	Donation plan for 55m doses made public on June 21. This donation is part of the bilateral distribution of 14m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Cabo Verde		#N/A		Donation	Secondary	Direct	Lower middle income	 3,630 	1,995.34	0.0000	#N/A	 549,935 	 0.550 	Donation plan for 55m doses made public on June 21. This donation is part of the bilateral distribution of 14m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Oman		#N/A		Donation	Secondary	Direct	High income	 14,110 	70,217.01	0.0000	#N/A	 4,974,986 	 4.975 	Donation plan for 55m doses made public on June 21. This donation is part of the bilateral distribution of 14m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Moldova		#N/A		Donation	Secondary	Direct	Lower middle income	 4,590 	12,194.85	0.0000	#N/A	 2,657,637 	 2.658 	Donation plan for 55m doses made public on June 21. This donation is part of the bilateral distribution of 14m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Bosnia and Herzegovina		#N/A		Donation	Secondary	Direct	Upper middle income	 6,170 	20,375.25	0.0000	#N/A	 3,301,000 	 3.301 	Donation plan for 55m doses made public on June 21. This donation is part of the bilateral distribution of 14m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/
Pfizer/BioNTech	Approved	United States of America	Yes			Paraguay	1	2		Donation	Secondary	Intermediary - COVAX	Upper middle income	 5,520 	38,878.97	0.1420	7.098%	 7,044,636 	 7.045 	Donation part of the 80m donation pledge, unclear if doses are donated through COVAX or directly	https://www.reuters.com/article/us-health-coronavirus-paraguay-usa/u-s-to-donate-1-million-doses-of-pfizers-covid-19-vaccine-to-paraguay-idUSKCN2E42F3 ; https://www.swissinfo.ch/spa/coronavirus-paraguay_paraguay-espera-acceder-a-una-parte-de-los-80-millones-de-vacunas-de-ee-uu-/46665504
Moderna	Approved	United States of America	Yes			Honduras	1.5	2	Jun-21	Donation	Secondary	Intermediary - COVAX	Lower middle income	 2,390 	23,303.43	0.1539	7.695%	 9,746,117 	 9.746 	Donation part of the 80m donation pledge, doses are donated through COVAX	https://www.reuters.com/world/americas/honduras-receive-15-mln-doses-moderna-covid-19-vaccine-us-sunday-2021-06-25/
